catalogue_num,title,year_made
1,habitasse platea dictumst,1740
2,luctus et ultrices,1905
3,mi integer ac,1562
4,quam pede lobortis ligula,1330
5,odio odio elementum eu,1265
6,bibendum felis,1833
7,accumsan tortor,1977
8,dolor sit amet,1674
9,non,1882
10,dui,1162
11,suspendisse,1694
12,erat vestibulum sed,1128
13,ipsum dolor,2000
14,montes nascetur ridiculus mus,1139
15,eu,1173
16,quis tortor,1877
17,nunc purus phasellus,1781
18,vitae mattis,1960
19,maecenas rhoncus aliquam lacus,1539
20,platea,1250
21,quam,1799
22,hac habitasse platea dictumst,1348
23,pede ac,1582
24,in felis eu,1348
25,nulla,1498
26,nec,1503
27,dui maecenas tristique,1786
28,rhoncus,1265
29,fusce consequat,1936
30,felis eu,1384
31,tellus nulla ut erat,1116
32,dolor,1217
33,vel,1844
34,lacinia eget,1730
35,ante ipsum primis in,1521
36,ligula,1501
37,at dolor,1610
38,odio in,1711
39,metus vitae ipsum aliquam,1326
40,cras non,1371
41,sociis,1574
42,non,1980
43,sem praesent id,1552
44,felis sed,2006
45,vel ipsum praesent,1681
46,suspendisse ornare consequat,1771
47,eget congue eget semper,1939
48,rutrum,1020
49,lorem,1978
50,cubilia curae duis,1340
51,sed,1121
52,luctus,1534
53,massa id lobortis,1015
54,quam,1155
55,mauris,1898
56,lacinia nisi venenatis tristique,1825
57,auctor,1941
58,vestibulum sit amet cursus,1337
59,at turpis a pede,1027
60,pede venenatis,1850
61,turpis eget elit,1539
62,accumsan odio curabitur convallis,1140
63,nisi volutpat eleifend,1476
64,nulla ut erat id,1831
65,proin risus,1986
66,penatibus et magnis,1781
67,id ligula suspendisse ornare,1932
68,turpis a,1027
69,venenatis,1916
70,quam fringilla rhoncus,1938
71,vestibulum velit id,1389
72,pede,1282
73,fusce posuere felis sed,1822
74,amet sem fusce consequat,1644
75,erat tortor,1777
76,sit amet sapien dignissim,1516
77,a feugiat,1052
78,ac leo,1700
79,suspendisse potenti in,1806
80,orci luctus et,1998
81,massa id nisl,1331
82,lacus curabitur at ipsum,1422
83,platea dictumst aliquam,1404
84,vestibulum rutrum,1135
85,morbi a ipsum,1835
86,sed tincidunt eu felis,1961
87,praesent id massa id,1056
88,non velit nec nisi,1821
89,orci,1157
90,non velit donec diam,1998
91,in felis,1620
92,parturient montes nascetur,1011
93,lacus,1226
