date_received,date_returned
1968-06-17,1991-06-07
1911-12-23,1935-04-13
1923-07-10,1944-05-22
1980-12-01,1988-09-06
1987-02-07,1967-04-12
1936-10-19,1906-07-03
1986-12-24,1978-01-31
2021-02-10,1973-08-19
1931-07-08,2016-08-19
1999-01-03,2000-05-02
1992-02-04,2008-11-24
1928-06-08,1917-12-07
1923-05-30,1918-12-20
2015-08-27,2014-11-11
1920-07-26,1988-12-12
2005-10-22,1915-08-13
1900-09-12,1903-03-29
1997-07-10,2009-11-26
1929-10-18,1992-02-26
2018-05-15,1992-12-03
1956-06-23,1992-02-14
1992-06-28,1981-05-25
1950-01-12,1974-03-19
1928-01-19,1972-11-01
1923-08-14,2012-07-25
1992-07-10,1951-11-07
1950-09-22,1970-09-20
1935-07-08,1930-05-09
1927-10-11,1998-05-12
1944-02-21,2011-10-26
2007-11-09,2012-05-11
1996-10-03,1936-11-22
1950-07-15,1932-08-20
1955-10-12,2002-11-03
1924-11-23,2017-09-10
2019-09-01,1990-06-11
1968-11-10,1913-10-07
1903-10-05,1930-11-30
1985-01-02,1937-03-18
1998-02-22,2012-08-07
1965-08-01,1908-12-23
1978-07-13,1967-07-10
1991-10-03,1957-07-07
1973-05-03,1926-07-15
1987-04-16,1970-03-13
1998-05-30,2015-01-25
1933-06-12,1954-07-03
1933-02-01,1975-09-19
1954-02-03,1919-12-14
1989-01-21,1934-06-24
1990-02-16,2015-02-14
1919-04-15,1909-05-14
1932-02-16,1911-12-29
1998-09-11,1956-09-29
1903-11-28,1951-07-11
1982-08-08,2000-03-05
1989-09-19,1995-04-26
1932-10-06,1994-03-04
1987-02-12,1977-08-06
1925-02-26,1909-06-15
1910-09-05,2011-11-27
2019-12-26,1966-10-10
1944-04-03,1928-02-06
1929-01-17,1991-07-22
2019-11-12,1981-02-01
1985-01-15,1996-07-31
2016-03-03,1994-10-05
1916-10-11,1927-04-04
1966-07-22,2007-09-22
1930-08-12,1977-04-15
1951-11-10,1953-10-10
1962-02-19,1989-01-14
1993-06-06,1955-05-09
1942-05-23,1901-07-29
1958-03-23,1984-04-11
1949-04-04,1946-06-22
1929-08-31,1979-05-23
1985-11-22,1943-11-28
1951-01-23,1971-11-23
1957-10-31,1987-05-07
2011-11-26,1915-12-17
1914-12-21,2008-01-31
1924-07-20,1930-01-28
1952-12-07,2008-01-19
1931-01-15,1993-06-23
1947-02-28,1974-09-11
1967-09-03,1987-12-11
1926-03-02,1944-06-15
1955-07-12,1942-07-13
2009-07-04,1914-12-01
1917-10-17,1970-09-22
1974-03-09,1917-05-20
1958-10-02,1983-05-26
1943-11-21,1988-10-28
1913-10-08,1966-04-16
2013-10-14,2003-05-16
1962-11-09,2018-01-30
2013-08-31,1994-02-25
1926-05-28,1934-03-31
1972-10-06,2018-06-29
1994-11-23,1933-01-17
2007-01-01,1924-11-06
1904-07-10,1984-01-21
1936-04-04,2006-07-30
1918-11-22,2021-03-21
2015-07-12,1933-04-25
1987-08-10,1984-12-01
1932-10-05,1973-11-20
1910-12-14,1926-06-10
1993-01-06,1961-02-12
1940-07-26,1943-03-13
1987-10-01,1971-03-08
1996-06-04,1912-12-04
1998-11-15,1968-08-29
1948-06-17,1921-05-29
1925-10-01,2015-04-25
1967-12-10,1911-01-01
1961-11-24,2015-10-23
1950-03-27,1979-04-03
2010-02-21,1974-05-10
1981-07-03,1945-03-12
1942-05-02,2015-04-20
2006-10-18,1941-08-16
1900-06-25,1951-12-21
2022-11-05,1976-01-28
1944-04-22,1966-02-21
1911-05-24,1919-01-07
1906-04-20,1989-07-04
1956-12-02,1923-09-08
1956-03-03,2007-05-15
2006-03-21,2016-05-14
1951-06-26,1906-01-13
1930-07-22,1937-05-17
1915-12-12,1960-11-04
1989-12-18,1982-06-24
1985-04-20,1900-04-09
2005-06-28,2011-04-16
1946-01-25,1963-08-08
1962-01-12,2018-03-30
1951-11-12,1968-11-28
2003-07-12,1904-11-23
1964-11-27,1980-11-03
1906-11-30,1934-11-13
2020-06-11,2012-07-31
2001-12-16,1901-04-18
2003-07-29,1944-05-19
1916-06-13,1959-10-01
1932-08-26,1925-09-09
1978-09-19,1956-05-19
2007-06-11,1955-07-15
1911-07-27,1903-08-01
1989-06-02,2009-07-19
1945-01-16,1996-03-22
2015-02-08,1917-08-28
1986-08-31,2013-09-06
1922-07-12,1987-12-06
1986-05-10,1904-05-21
1971-05-06,1960-04-07
1922-07-04,2014-10-21
1983-06-05,1929-01-15
1927-11-01,1936-02-17
1921-04-25,1946-04-26
1919-10-07,2004-09-10
1976-05-27,1907-10-25
1968-08-26,1902-02-06
1940-10-13,1947-10-18
2018-02-08,1990-10-18
1986-04-06,1963-12-09
2011-03-30,2011-09-07
2010-03-05,1998-10-13
2005-11-10,1979-07-04
1902-11-16,1948-04-11
1930-02-17,1974-01-02
1947-07-15,1929-11-12
1924-09-07,1918-08-29
2004-04-09,1951-12-04
2015-02-02,2021-11-06
1952-08-27,1924-03-16
1967-11-18,1932-04-18
1900-12-17,1991-01-13
1982-05-28,2012-12-17
1993-10-30,1933-07-08
1953-12-02,1923-06-28
1953-12-21,1921-12-08
1989-10-30,1928-10-17
2012-06-17,1925-05-01
2003-12-22,1930-09-09
1937-03-04,1951-09-07
1917-03-27,1930-08-12
1909-09-28,2002-07-14
